libayatana-indicator3-7:amd64	0.9.4-2	amd64
libbdplus0:amd64	0.2.0-4build1	amd64
libbinutils:amd64	2.46-3ubuntu2	amd64
libblkid1:amd64	2.41.3-3ubuntu2	amd64
libbluetooth3:amd64	5.85-4	amd64
libbluray3:amd64	1:1.4.1-1	amd64
libbpf1:amd64	1:1.6.3-1ubuntu1	amd64
libbpfcc:amd64	0.35.0+ds-1ubuntu2	amd64
libbrotli1:amd64	1.2.0-3build1	amd64
libbs2b0:amd64	3.1.0+dfsg-8build1	amd64
libbsd0:amd64	0.12.2-2build2	amd64
libbz2-1.0:amd64	1.0.8-6build2	amd64
libc-bin	2.43-2ubuntu2	amd64
libc-dev-bin	2.43-2ubuntu2	amd64
libc-gconv-modules-extra:amd64	2.43-2ubuntu2	amd64
libc6-dev:amd64	2.43-2ubuntu2	amd64
libc6:amd64	2.43-2ubuntu2	amd64
libcairo-gobject2:amd64	1.18.4-3	amd64
libcairo-script-interpreter2:amd64	1.18.4-3	amd64
libcairo2:amd64	1.18.4-3	amd64
libcairomm-1.0-1v5:amd64	1.14.5-3	amd64
libcairomm-1.16-1:amd64	1.18.0-3	amd64
libcanberra0:amd64	0.30-18ubuntu3	amd64
libcap-ng0:amd64	0.8.5-4build5	amd64
libcap2-bin	1:2.75-10ubuntu2	amd64
libcap2:amd64	1:2.75-10ubuntu2	amd64
libcbor0.10:amd64	0.10.2-2ubuntu3	amd64
libcc1-0:amd64	16-20260322-1ubuntu1	amd64
libcddb2	1.3.2-7.1fakesync1build1	amd64
libcdio-cdda2t64:amd64	10.2+2.0.2-2	amd64
libcdio-paranoia2t64:amd64	10.2+2.0.2-2	amd64
libcdio19t64:amd64	2.2.0-4build1	amd64
libcdparanoia0:amd64	3.10.2+debian-14ubuntu2	amd64
libchromaprint1:amd64	1.6.0-2build1	amd64
libcjson1:amd64	1.7.19-2	amd64
libclang-cpp21	1:21.1.8-6ubuntu1	amd64
libclang1-21	1:21.1.8-6ubuntu1	amd64
libclone-perl:amd64	0.47-1	amd64
libcodec2-1.2:amd64	1.2.0-4	amd64
libcolord2:amd64	1.4.8-3	amd64
libcom-err2:amd64	1.47.2-3ubuntu4	amd64
libcrypt-urandom-perl	0.55-1	amd64
libcrypt1:amd64	1:4.5.1-1	amd64
libcryptsetup12:amd64	2:2.8.4-1ubuntu4	amd64
libctf-nobfd0:amd64	2.46-3ubuntu2	amd64
libctf0:amd64	2.46-3ubuntu2	amd64
libcups2t64:amd64	2.4.16-1ubuntu1	amd64
libcurl3t64-gnutls:amd64	8.18.0-1ubuntu2.1	amd64
libcurl4t64:amd64	8.18.0-1ubuntu2.1	amd64
libdata-dump-perl	1.25-1	all
libdatrie1:amd64	0.2.14-1	amd64
libdav1d7:amd64	1.5.3-1	amd64
libdb5.3t64:amd64	5.3.28+dfsg2-10ubuntu1	amd64
libdbus-1-3:amd64	1.16.2-2ubuntu4	amd64
libdc1394-25:amd64	2.2.6-6	amd64
