2026-07-04 01:06:57.040 INFO  [492628] [SDLInputHandler::RefreshSDLDevice@148] Input device found: id=6 name=L'atelier d'Arnoz DudesCab
2026-07-04 01:06:57.092 INFO  [492628] [SDLInputHandler::RefreshSDLDevice@166] Processing as Gamepad: 6 axes, 15 buttons, rumble=false
2026-07-04 01:06:57.092 INFO  [492628] [OpenPinDevHandler::OpenPinDevHandler@216] OpenPinDev input handler registered
2026-07-04 01:06:57.104 INFO  [492628] [Player::Player@608] Initializing physics
2026-07-04 01:06:57.104 INFO  [492628] [ProgressDialog::SetProgress@86] Initializing Physics... 30%
2026-07-04 01:06:57.124 INFO  [492628] [PhysicsEngine::PhysicsEngine@89] Initializing octree
2026-07-04 01:06:57.173 INFO  [492628] [ProgressDialog::SetProgress@86] Loading Textures... 50%
2026-07-04 01:06:57.177 INFO  [492851] [Player::Player@729] Image 'Metal_short' loaded to RAM
2026-07-04 01:06:57.177 INFO  [492848] [Player::Player@729] Image 'Metal_long' loaded to RAM
2026-07-04 01:06:57.177 INFO  [492847] [Player::Player@729] Image 'lramp2' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492840] [Player::Player@729] Image 'flare_red' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492839] [Player::Player@729] Image 'DropTargetSimple' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492846] [Player::Player@729] Image 'lramp' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492845] [Player::Player@729] Image 'level_green' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492856] [Player::Player@729] Image 'rampborder_grey_reflex2' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492855] [Player::Player@729] Image 'ramp' loaded to RAM
2026-07-04 01:06:57.178 INFO  [492848] [Player::Player@729] Image 'strobe' loaded to RAM
2026-07-04 01:06:57.179 INFO  [492838] [Player::Player@729] Image 'cupulaverde' loaded to RAM
2026-07-04 01:06:57.179 INFO  [492837] [Player::Player@729] Image 'shadow' loaded to RAM
2026-07-04 01:06:57.179 INFO  [492846] [Player::Player@729] Image 'saucer3' loaded to RAM
2026-07-04 01:06:57.179 INFO  [492844] [Player::Player@729] Image 'Left_rail_brighter' loaded to RAM
2026-07-04 01:06:57.179 INFO  [492859] [Player::Player@729] Image 'rubber-post-t1-black' loaded to RAM
2026-07-04 01:06:57.179 INFO  [492852] [Player::Player@729] Image 'metal_side' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492845] [Player::Player@729] Image 'saucer4' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492845] [Player::Player@729] Image 'LUT0' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492860] [Player::Player@729] Image 'LUT Warm 4' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492862] [Player::Player@729] Image 'LUT Warm 8' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492863] [Player::Player@729] Image 'LUT Warm 9' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492846] [Player::Player@729] Image 'LUT Warm 5' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492840] [Player::Player@729] Image 'saucer1' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492852] [Player::Player@729] Image 'LUT Warm 10' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492846] [Player::Player@729] Image 'LUT3' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492859] [Player::Player@729] Image 'LUT Warm 7' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492836] [Player::Player@729] Image 'LUT Warm 1' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492838] [Player::Player@729] Image 'LUT Warm 2' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492852] [Player::Player@729] Image 'LUT6' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492858] [Player::Player@729] Image 'rramp' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492849] [Player::Player@729] Image 'Metal_long2' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492838] [Player::Player@729] Image 'LUT8' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492848] [Player::Player@729] Image 'saucer8' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492839] [Player::Player@729] Image 'saucer2' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492845] [Player::Player@729] Image 'LUT1' loaded to RAM
2026-07-04 01:06:57.180 INFO  [492863] [Player::Player@729] Image 'LUT2' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492832] [Player::Player@729] Image 'bottom_ramp4b' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492844] [Player::Player@729] Image 'LUT Warm 6' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492856] [Player::Player@729] Image 'saucer5' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492861] [Player::Player@729] Image 'saucer7' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492840] [Player::Player@729] Image 'LUT5' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492851] [Player::Player@729] Image 'steel' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492842] [Player::Player@729] Image 'flipperx' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492852] [Player::Player@729] Image 'LUT9' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492858] [Player::Player@729] Image 'LUT10' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492837] [Player::Player@729] Image 'LUT Warm 3' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492846] [Player::Player@729] Image 'LUT7' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492855] [Player::Player@729] Image 'saucer6' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492848] [Player::Player@729] Image 'target-t2-red' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492841] [Player::Player@729] Image 'FlasherT2-R(2)' loaded to RAM
2026-07-04 01:06:57.181 INFO  [492860] [Player::Player@729] Image 'LUT4' loaded to RAM
2026-07-04 01:06:57.182 INFO  [492839] [Player::Player@729] Image 'sidewood2' loaded to RAM
2026-07-04 01:06:57.182 INFO  [492857] [Player::Player@729] Image 'Right_rail_brighter' loaded to RAM
2026-07-04 01:06:57.182 INFO  [492838] [Player::Player@729] Image 'target1-red' loaded to RAM
2026-07-04 01:06:57.182 INFO  [492834] [Player::Player@729] Image 'LUT Warm 0' loaded to RAM
2026-07-04 01:06:57.183 INFO  [492863] [Player::Player@729] Image 'JPBall-Scratches' loaded to RAM
2026-07-04 01:06:57.183 INFO  [492862] [Player::Player@729] Image 'target-t2-green' loaded to RAM
2026-07-04 01:06:57.183 INFO  [492825] [Player::Player@729] Image 'JPS_Env Balanced' loaded to RAM
2026-07-04 01:06:57.183 INFO  [492850] [Player::Player@729] Image 'Metal_long3' loaded to RAM
2026-07-04 01:06:57.184 INFO  [492843] [Player::Player@729] Image 'flw' loaded to RAM
2026-07-04 01:06:57.184 INFO  [492845] [Player::Player@729] Image 'JPBall_Equirectangular' loaded to RAM
2026-07-04 01:06:57.188 INFO  [492830] [Player::Player@729] Image 'bumper-jp' loaded to RAM
2026-07-04 01:06:57.189 INFO  [492832] [Player::Player@729] Image 'Screenshot' loaded to RAM
2026-07-04 01:06:57.190 INFO  [492864] [Player::Player@729] Image 'AFM10' loaded to RAM
2026-07-04 01:06:57.198 INFO  [492826] [Player::Player@729] Image 'backufo2' loaded to RAM
2026-07-04 01:06:57.199 INFO  [492835] [Player::Player@729] Image 'Cube' loaded to RAM
2026-07-04 01:06:57.201 INFO  [492829] [Player::Player@729] Image 'backwall' loaded to RAM
2026-07-04 01:06:57.208 INFO  [492833] [Player::Player@729] Image 'bigufo3' loaded to RAM
2026-07-04 01:06:57.211 INFO  [492831] [Player::Player@729] Image 'bigufo2' loaded to RAM
2026-07-04 01:06:57.215 INFO  [492849] [Player::Player@729] Image 'sidewall' loaded to RAM
2026-07-04 01:06:57.219 INFO  [492828] [Player::Player@729] Image 'bigufo1' loaded to RAM
2026-07-04 01:06:57.224 INFO  [492844] [Player::Player@729] Image 'rulescard' loaded to RAM
2026-07-04 01:06:57.229 INFO  [492827] [Player::Player@729] Image 'Backdrop' loaded to RAM
2026-07-04 01:06:57.321 INFO  [492847] [Player::Player@729] Image 'pf-lights' loaded to RAM
2026-07-04 01:06:57.341 INFO  [492854] [Player::Player@729] Image 'plastics' loaded to RAM
2026-07-04 01:06:57.498 INFO  [492853] [Player::Player@729] Image 'pf' loaded to RAM
2026-07-04 01:06:57.499 INFO  [492628] [Player::Player@769] Initializing renderer
2026-07-04 01:06:57.499 INFO  [492628] [ProgressDialog::SetProgress@86] Initializing Renderer... 60%
2026-07-04 01:06:57.539 INFO  [492628] [Standalone::PreStartup@41] Performing pre-startup standalone actions
2026-07-04 01:06:57.539 INFO  [492628] [Player::Player@811] Starting script
2026-07-04 01:06:57.540 INFO  [492628] [VPXPluginAPIImpl::ApplyScriptCOMObjectOverrides@320] COM script object b2s.server overriden to be provided by a plugin
2026-07-04 01:06:57.540 INFO  [492628] [VPXPluginAPIImpl::ApplyScriptCOMObjectOverrides@320] COM script object vpinmame.controller overriden to be provided by a plugin
2026-07-04 01:06:57.540 INFO  [492628] [VPXPluginAPIImpl::ApplyScriptCOMObjectOverrides@320] COM script object vpinmame.controller overriden to be provided by a plugin
2026-07-04 01:06:57.540 INFO  [492628] [VPXPluginAPIImpl::ApplyScriptCOMObjectOverrides@320] COM script object b2s.server overriden to be provided by a plugin
2026-07-04 01:06:57.540 INFO  [492628] [VPXPluginAPIImpl::ApplyScriptCOMObjectOverrides@320] COM script object b2s.server overriden to be provided by a plugin
2026-07-04 01:06:57.541 INFO  [492628] [find_case_insensitive_file_path@565] case insensitive file match: requested "/opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/scripts/WPC.VBS", actual "/opt/pincabos/apps/vpinball-tests/v10.8.1-3788-2151290/runtime/scripts/WPC.vbs"
2026-07-04 01:06:57.549 INFO  [492628] [external_log_info@922] L"Controller" redefined
2026-07-04 01:06:57.549 INFO  [492628] [external_log_info@922] L"UsePdbLeds" redefined
2026-07-04 01:06:57.551 INFO  [492628] [ScriptGlobalTable::Invoke@4160] dispId=824 (0x00000338), wFlags=3, hres=-2147467259
2026-07-04 01:06:57.551 INFO  [492628] [ScriptGlobalTable::Invoke@4160] dispId=824 (0x00000338), wFlags=3, hres=-2147467259
2026-07-04 01:06:57.551 INFO  [492628] [ScriptGlobalTable::Invoke@4160] dispId=824 (0x00000338), wFlags=3, hres=-2147467259
2026-07-04 01:06:57.551 INFO  [492628] [ScriptGlobalTable::Invoke@4160] dispId=824 (0x00000338), wFlags=3, hres=-2147467259
2026-07-04 01:06:57.551 INFO  [492628] [ScriptGlobalTable::Invoke@4160] dispId=824 (0x00000338), wFlags=3, hres=-2147467259
2026-07-04 01:06:57.551 INFO  [492628] [ScriptGlobalTable::Invoke@4160] dispId=824 (0x00000338), wFlags=3, hres=-2147467259
2026-07-04 01:06:57.551 INFO  [492628] [VPXPluginAPIImpl::PluginLog@242] B2SLegacy: Creating PinMAME Controller instance via forwarding
2026-07-04 01:06:57.551 INFO  [492628] [VPXPluginAPIImpl::PluginLog@242] PinmameSetConfig(): sampleRate=44100, vpmPath=/home/pinball/Tables/Attack from Mars (Bally 1995)/pinmame/
2026-07-04 01:06:57.552 INFO  [492628] [VPXPluginAPIImpl::PluginLog@242] Game found: name=afm_113b, description=Attack From Mars (1.13b / S1.1), manufacturer=Bally, year=1999
2026-07-04 01:06:57.552 INFO  [492628] [VPXPluginAPIImpl::PluginLog@242] B2SLegacy: Setting GameName to 'afm_113b' in B2S settings
2026-07-04 01:06:57.552 ERROR [492628] [VPXPluginAPIImpl::PluginLog@244] ShowTitle is deprecated
2026-07-04 01:06:57.552 ERROR [492628] [VPXPluginAPIImpl::PluginLog@244] ShowDMDOnly is deprecated
2026-07-04 01:06:57.552 ERROR [492628] [VPXPluginAPIImpl::PluginLog@244] ShowFrame is deprecated
2026-07-04 01:06:57.553 INFO  [492875] [VPXPluginAPIImpl::PluginLog@242] osd_display_loading_rom_message(): loading afm_113b.bin...
2026-07-04 01:06:57.561 INFO  [492875] [VPXPluginAPIImpl::PluginLog@242] osd_display_loading_rom_message(): loading afm_s2.l1   ...
2026-07-04 01:06:57.569 INFO  [492875] [VPXPluginAPIImpl::PluginLog@242] osd_display_loading_rom_message(): loading afm_s3.l1   ...
2026-07-04 01:06:57.578 INFO  [492875] [VPXPluginAPIImpl::PluginLog@242] osd_display_loading_rom_message(): loading afm_s4.l1   ...
2026-07-04 01:06:57.586 INFO  [492875] [VPXPluginAPIImpl::PluginLog@242] osd_display_loading_rom_message():
2026-07-04 01:06:57.587 INFO  [492875] [VPXPluginAPIImpl::PluginLog@242] osd_create_display: 60.00 fps
2026-07-04 01:06:57.603 INFO  [492875] [VPXPluginAPIImpl::PluginLog@242] format=0, channels=1, sampleRate=44100.00, framesPerSecond=60.00, samplesPerFrame=735, bufferSize=16384
2026-07-04 01:06:57.628 INFO  [492628] [VPXPluginAPIImpl::PluginLog@242] B2S table filename set to '/home/pinball/Tables/Attack from Mars (Bally 1995)/Attack from Mars (Bally 1995).vpx'
2026-07-04 01:06:57.628 INFO  [492628] [VPXPluginAPIImpl::PluginLog@242] directb2s file found at: /home/pinball/Tables/Attack from Mars (Bally 1995)/Attack from Mars (Bally 1995).directb2s
2026-07-04 01:06:58.696 INFO  [492628] [Player::Player@863] Prerendering static parts
2026-07-04 01:06:58.696 INFO  [492628] [Renderer::RenderStaticPrepass@1611] Performing prerendering of static parts.
2026-07-04 01:06:58.696 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 70%
2026-07-04 01:06:59.619 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 71%
2026-07-04 01:06:59.631 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 72%
2026-07-04 01:06:59.642 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 73%
2026-07-04 01:06:59.657 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 74%
2026-07-04 01:06:59.669 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 75%
2026-07-04 01:06:59.680 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 76%
2026-07-04 01:06:59.692 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 77%
2026-07-04 01:06:59.692 INFO  [492896] [VPXPluginAPIImpl::PluginLog@242] B2S polling status: lamps=0, solenoids=1, giStrings=1, leds=0
2026-07-04 01:06:59.706 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 78%
2026-07-04 01:06:59.718 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 79%
2026-07-04 01:06:59.729 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 80%
2026-07-04 01:06:59.741 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 81%
2026-07-04 01:06:59.755 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 82%
2026-07-04 01:06:59.767 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 83%
2026-07-04 01:06:59.778 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 84%
2026-07-04 01:06:59.790 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 85%
2026-07-04 01:06:59.804 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 86%
2026-07-04 01:06:59.815 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 87%
2026-07-04 01:06:59.827 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 88%
2026-07-04 01:06:59.841 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 89%
2026-07-04 01:06:59.853 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 90%
2026-07-04 01:06:59.864 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 91%
2026-07-04 01:06:59.875 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 92%
2026-07-04 01:06:59.889 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 93%
2026-07-04 01:06:59.900 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 94%
2026-07-04 01:06:59.911 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 95%
2026-07-04 01:06:59.922 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 96%
2026-07-04 01:06:59.936 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 97%
2026-07-04 01:06:59.947 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 98%
2026-07-04 01:06:59.958 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 99%
2026-07-04 01:06:59.969 INFO  [492628] [ProgressDialog::SetProgress@86] Prerendering Static Parts... 100%
2026-07-04 01:06:59.974 INFO  [492628] [Renderer::RenderStaticPrepass@1798] Starting Reflection Probe prerendering
2026-07-04 01:06:59.974 INFO  [492628] [Renderer::RenderStaticPrepass@1807] Static PreRender done
2026-07-04 01:06:59.998 INFO  [492628] [Player::Player@874] Startup done
2026-07-04 01:06:59.998 INFO  [492628] [Standalone::PostStartup@46] Performing post-startup standalone actions
2026-07-04 01:07:00.594 INFO  [492628] [SDLInputHandler::RefreshSDLDevice@148] Input device found: id=6 name=L'atelier d'Arnoz DudesCab
2026-07-04 01:07:00.646 INFO  [492628] [SDLInputHandler::RefreshSDLDevice@166] Processing as Gamepad: 6 axes, 15 buttons, rumble=false
2026-07-04 01:07:00.647 WARN  [492628] [PinTable::StopSound@6586] Request to stop "fx_ballrolling7", but sound was not found.
2026-07-04 01:07:00.647 WARN  [492628] [PinTable::StopSound@6586] Request to stop "fx_ballrolling8", but sound was not found.
2026-07-04 01:07:00.647 WARN  [492628] [PinTable::StopSound@6586] Request to stop "fx_ballrolling9", but sound was not found.
2026-07-04 01:07:00.647 WARN  [492628] [PinTable::StopSound@6586] Request to stop "fx_ballrolling10", but sound was not found.
2026-07-04 01:07:00.647 WARN  [492628] [PinTable::StopSound@6586] Request to stop "fx_ballrolling11", but sound was not found.
2026-07-04 01:07:00.647 WARN  [492628] [PinTable::StopSound@6586] Request to stop "fx_ballrolling12", but sound was not found.
2026-07-04 01:07:00.647 WARN  [492628] [PinTable::StopSound@6586] Request to stop "fx_ballrolling13", but sound was not found.
2026-07-04 01:07:00.647 WARN  [492628] [PinTable::StopSound@6586] Request to stop "fx_ballrolling14", but sound was not found.
